,,,,,,,,,,nan_8,nan_9,nan_10,nan_11,code,product name,brand,unit,qty,unit price,amount,vat/tax %,vat amount,final amount,cost | p unit,retail price or % | p unit,wholesale price | p unit,disc/p unit,"97212, dubai, united arab emirates"
,,,,,,,,,,,,,,,2 GANG BLANK PLATE WHITE (TORONTO SERIES)-NOVEX,,PCS,10,3.5,35,5,1.75,36.75,,,,,
,,,,,,,,,,,,,,,1 GANG BLANK PLATE SILVER (TORONTO SERIES)-NOVEX,,PCS,20,2.6,52,5,2.6,54.6,,,,,
,,,,,,,,,,,,,,,45A DP SWITCH W/NEON (3X3) WHITE (TORONTO SERIES)- NOVEX,,PCS,10,9,90,5,4.5,94.5,,,,,
,,,,,,,,,,,,,,,13A 2 GANG SWITCH SOCKET W/NEON WHITE (TORONTO SERIES)-NOVEX ,,PCS,10,8.25,82.5,5,4.13,86.63,,,,,
,,,,,,,,,,,,,,,13A 1 GANG SWITCH SOCKET W/NEON WHITE (TORONTO SERIES)- NOVEX,,PCS,20,4.5,90,5,4.5,94.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,01.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,531335,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,13A 2 GANG SWITCH SOCKET W/NEON SILVER (TORONTO SERIES)-NOVEX ,,PCS,5,9.75,48.75,5,2.44,51.19,,,,,
,,,,,,,,,,,,,,,13A 1 GANG SWITCH SOCKET W/NEON SILVER (TORONTO SERIES)- NOVEX ,,PCS,10,5,50,5,2.5,52.5,,,,,
,,,,,,,,,,,,,,,1 GANG 2 WAY SWITCH SILVER TORONTO SERIES)- NOVEX ,,PCS,10,3.8,38,5,1.9,39.9,,,,,
,,,,,,,,,,,,,,,2 GANG 2 WAY SWITCH SILVER TORONTO SERIES)- NOVEX ,,PCS,10,4.8,48,5,2.4,50.4,,,,,
,,,,,,,,,,,,,,,3 GANG 2 WAY SWITCH SILVER TORONTO SERIES)-NOVEX,,PCS,10,6.25,62.5,5,3.13,65.63,,,,,
,,,,,,,,,,,,,,,4 GANG 2 WAY SWITCH SILVER TORONTO SERIES) - NOVEX,,PCS,10,7.5,75,5,3.75,78.75,,,,,
,,,,,,,,,,,,,,,20A 1 GANG DP SWITCH W/NEON SILVER TORONTO SERIES)- NOVEX,,PCS,10,6,60,5,3,63,,,,,
,,,,,,,,,,,,,,,1 GANG 2 WAY SWITCH WHITE (TORONTO SERIES)-NOVEX,,PCS,10,2.7,27,5,1.35,28.35,,,,,
,,,,,,,,,,,,,,,2 GANG 2 WAY SWITCH WHITE (TORONTO SERIES)- NOVEX,,PCS,10,3.9,39,5,1.95,40.95,,,,,
,,,,,,,,,,,,,,,3 GANG 2 WAY SWITCH WHITE (TORONTO SERIES)-NOVEX,,PCS,10,5,50,5,2.5,52.5,,,,,
,,,,,,,,,,,,,,,4 GANG 2 WAY SWITCH WHITE (TORONTO SERIES)-NOVEX,,PCS,10,6.25,62.5,5,3.13,65.63,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,05.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,532301,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,ALUMINIUM PROFILE 2MTR (17×12MM) - NOVEX,,PCS,100,4,400,5,20,420,,,,,
,,,,,,,,,,,,,,,U CLAMP PVC 25MM (BLACK) - CAVIL,,PCS,1000,0.17,170,5,8.5,178.5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Date ,07.11.2024,,,,,,,,,,,,,
,,,,,,,,,,,,,,Month,November,,,,,,,,,,,,,
,,,,,,,,,,,,,,Invoice No,533028,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Code,Product Name,Brand,Unit ,Qty,Unit Price,Amount,VAT/Tax %,VAT Amount,Final Amount,Cost | P Unit,Retail Price or % | P Unit ,wholesale Price | P Unit,,
,,,,,,,,,,,,,,,WIRELESS DOOR BELL - CAVIL,,PCS,10,13,130,5,6.5,136.5,,,,,
